stateFIPS,stateAB,twoPhysV,gestLimV,pbBanV,pubFundAllV,privLimV,parentV,indexLAW
01,AL,1.2762390957487997,0.5886504348067241,-0.5762420688253156,0.6694619270045784,-0.5492350363810897,0.6518210944902108,0.21783497512282907
04,AZ,1.2762390957487997,0.06654309263032533,1.2605295255553775,0.6694619270045784,1.7850138682385415,0.6518210944902108,1.1043999346382176
05,AR,1.2762390957487997,0.5886504348067241,1.2605295255553775,0.6694619270045784,-0.5492350363810897,0.6518210944902108,0.8455225685748987
06,CA,-0.6666920649434028,0.06654309263032533,-0.9435963877014542,-1.4644479653225153,-0.5492350363810897,-1.1110586837901322,-0.7434768094989105
08,CO,-0.6666920649434028,-1.499778933898871,-0.9435963877014542,0.6694619270045784,-0.5492350363810897,-0.35553877881284235,-0.5544614136738836
09,CT,-0.6666920649434028,0.06654309263032533,-0.9435963877014542,-1.4644479653225153,-0.5492350363810897,-1.3628986521158954,-0.7794539478311623
10,DE,-0.6666920649434028,-0.45556424954607344,-0.9435963877014542,0.6694619270045784,-0.5492350363810897,-0.8592187154643689,-0.47724216400227354
12,FL,1.2762390957487997,0.06654309263032533,-0.5762420688253156,0.6694619270045784,-0.5492350363810897,1.6591809677932639,0.3099874934961351
13,GA,-0.6666920649434028,0.5886504348067241,0.5258208878031003,0.6694619270045784,-0.5492350363810897,-0.35553877881284235,-0.046197607358148006
16,ID,0.3047735154026984,0.06654309263032533,-0.5762420688253156,0.6694619270045784,1.7850138682385415,0.6518210944902108,0.33793154399384784
17,IL,-0.6666920649434028,0.06654309263032533,-0.9435963877014542,-1.4644479653225153,-0.5492350363810897,-0.35553877881284235,-0.6355453945021547
18,IN,2.2477046760949007,0.5886504348067241,1.2605295255553775,0.6694619270045784,1.7850138682385415,0.6518210944902108,1.3177674949985747
19,IA,-0.6666920649434028,0.5886504348067241,-0.5762420688253156,0.6694619270045784,-0.5492350363810897,-0.35553877881284235,-0.18080444437842355
20,KS,1.2762390957487997,0.5886504348067241,1.2605295255553775,0.6694619270045784,1.7850138682385415,0.6518210944902108,0.8136950464085898
21,KY,-0.6666920649434028,0.5886504348067241,-0.5762420688253156,0.6694619270045784,1.7850138682385415,0.6518210944902108,0.36506042281902584
22,LA,1.2762390957487997,0.5886504348067241,1.2605295255553775,0.6694619270045784,-0.5492350363810897,0.6518210944902108,0.8455225685748987
23,ME,-0.6666920649434028,0.06654309263032533,-0.9435963877014542,-1.4644479653225153,-0.5492350363810897,-1.3628986521158954,-0.7794539478311623
24,MD,-0.6666920649434028,-0.45556424954607344,-0.9435963877014542,-1.4644479653225153,-0.5492350363810897,-0.8592187154643689,-0.7820864343347155
25,MA,-0.6666920649434028,-0.45556424954607344,-0.9435963877014542,-1.4644479653225153,-0.5492350363810897,0.1481411578386842,-0.6381778810057079
26,MI,-0.6666920649434028,1.110757776983123,1.2605295255553775,0.6694619270045784,1.7850138682385415,0.6518210944902108,0.9760118665897312
27,MN,2.2477046760949007,0.06654309263032533,-0.9435963877014542,-1.4644479653225153,-0.5492350363810897,-0.35553877881284235,-0.21920300292525421
28,MS,-0.6666920649434028,1.893918790247721,1.2605295255553775,0.6694619270045784,-0.5492350363810897,0.6518210944902108,0.7544278821104408
29,MO,1.2762390957487997,0.06654309263032533,1.2605295255553775,0.6694619270045784,1.7850138682385415,0.6518210944902108,0.7391082832405328
30,MT,1.2762390957487997,-0.45556424954607344,0.5258208878031003,-1.4644479653225153,-0.5492350363810897,-1.1110586837901322,-0.33058522463885925
31,NE,-0.6666920649434028,0.5886504348067241,-0.5762420688253156,0.6694619270045784,1.7850138682385415,0.6518210944902108,0.2737375099696046
32,NV,-0.6666920649434028,0.06654309263032533,-0.9435963877014542,0.6694619270045784,-0.5492350363810897,-1.1110586837901322,-0.43863253916646844
33,NH,-0.6666920649434028,-1.499778933898871,1.2605295255553775,0.6694619270045784,-0.5492350363810897,-0.35553877881284235,-0.23958628320862196
34,NJ,-0.6666920649434028,-1.499778933898871,-0.5762420688253156,-1.4644479653225153,-0.5492350363810897,-1.1110586837901322,-0.9147579105922042
35,NM,-0.6666920649434028,-1.499778933898871,0.5258208878031003,-1.4644479653225153,-0.5492350363810897,-1.1110586837901322,-0.7573203453595735
36,NY,-0.6666920649434028,-0.45556424954607344,-0.9435963877014542,-1.4644479653225153,-0.5492350363810897,-1.3628986521158954,-0.8540407109992192
37,NC,-0.6666920649434028,-0.45556424954607344,-0.9435963877014542,0.6694619270045784,-0.5492350363810897,0.6518210944902108,-0.2613793340087622
38,ND,-0.6666920649434028,0.5886504348067241,1.2605295255553775,0.6694619270045784,1.7850138682385415,0.6518210944902108,0.5361334520239894
39,OH,2.2477046760949007,0.5886504348067241,1.2605295255553775,0.6694619270045784,-0.5492350363810897,0.6518210944902108,0.9843033657671988
40,OK,1.2762390957487997,0.5886504348067241,1.2605295255553775,0.6694619270045784,1.7850138682385415,1.6591809677932639,0.9576035997375972
41,OR,-0.6666920649434028,-1.499778933898871,-0.9435963877014542,-1.4644479653225153,-0.5492350363810897,-1.3628986521158954,-1.003214237335333
42,PA,1.2762390957487997,-0.45556424954607344,-0.9435963877014542,0.6694619270045784,-0.5492350363810897,0.6518210944902108,0.016182260375838222
44,RI,-0.6666920649434028,0.06654309263032533,-0.5762420688253156,0.6694619270045784,-0.5492350363810897,0.6518210944902108,-0.13431338242982824
45,SC,0.3047735154026984,0.5886504348067241,1.2605295255553775,0.6694619270045784,-0.5492350363810897,0.6518210944902108,0.34145011998491365
