address,state,provAbortion
"430 Palora Ave #G, Yuba City, CA 95991",CA,Provides Abortions
"2530 Chamberlain Street, Ames, IA 50014",IA,Provides Abortions
"2520 Melrose Drive, Suite L, Cedar Falls, IA 50613",IA,Provides Abortions
"1604 2nd Ave, Council Bluffs, IA 51501",IA,Provides Abortions
"5631 S. 48th Street, Lincoln, NE 68516",NE,Provides Abortions
"3105 N. 93rd St, Omaha, NE 68134",NE,Provides Abortions
"1212 7th St. NW, Rochester, MN 55901",MN,Provides Abortions
"1000 E. Army Post Road, Des Moines, IA 50315",IA,Provides Abortions
"6511 West 41st Street, Sioux Falls, SD 57106",SD,Provides Abortions
"671 Vandalia St., St. Paul, MN 55114",MN,Provides Abortions
"1104 Buchanan Road #C10, Antioch, CA 94509",CA,Provides Abortions
"3100 Cohasset Rd., Chico, CA 95973",CA,Provides Abortions
"14671 Olympic Drive, Clearlake, CA 95422",CA,Provides Abortions
"2185 Pacheco Street, Concord, CA 94520",CA,Provides Abortions
"320 El Cerrito Plaza, El Cerrito, CA 94530",CA,Provides Abortions
"3225 Timber Fall Court, Suite B, Eureka, CA 95503",CA,Provides Abortions
"1325 Travis Blvd. #C, Fairfield, CA 94533",CA,Provides Abortions
"2970 Hilltop Mall Rd #307, Richmond, CA 94806",CA,Provides Abortions
"1735 Jefferson St, Napa, CA 94559",CA,Provides Abortions
"2935 Bechelli Lane, Redding, CA 96002",CA,Provides Abortions
"1650 Valencia St, San Francisco, CA 94110",CA,Provides Abortions
"2 H Street, San Rafael, CA 94901",CA,Provides Abortions
"200 Porter Drive, Suite 200, San Ramon, CA 94583",CA,Provides Abortions
"1140 Sonoma Ave Building 3, Santa Rosa, CA 95405",CA,Provides Abortions
"242-A Hospital Drive, Ukiah, CA 95482",CA,Provides Abortions
"303 Sacramento Street, Vallejo, CA 94590",CA,Provides Abortions
"1357 Oakland Blvd., Walnut Creek, CA 94596",CA,Provides Abortions
"2824 W Ridge Road, Rochester, NY 14626",NY,Provides Abortions
"222 W Main Street, Batavia, NY 14020",NY,Provides Abortions
"2697 Main Street, Buffalo, NY 14214",NY,Provides Abortions
"15 LaFayette Avenue, Canandiagua, NY 14424",NY,Provides Abortions
"750 Portage Road, Niagara Falls, NY 14301",NY,Provides Abortions
"15 Webster Street, North Tonawanda, NY 14120",NY,Provides Abortions
"114 University Avenue, Rochester, NY 14605",NY,Provides Abortions
"1120 E Genesee Street, Syracuse, NY 13210",NY,Provides Abortions
"Wimbledon Plaza 240 Center Road, West Seneca, NY 14224",NY,Provides Abortions
"14601 SE Division Street Portland, OR 97233",OR,Provides Abortions
"805 S Governors Ave, Dover, DE 19901",DE,Provides Abortions
"625 N Shipley Street, Wilmington, DE 19801",DE,Provides Abortions
"4803 State Highway/30 KEM Plaza, Amsterdam, NY 12010",NY,Provides Abortions
"109 Legion Drive, Cobleskill, NY 12043",NY,Provides Abortions
"35 West William Street, Corning, NY 14830",NY,Provides Abortions
"21-41 45th Rd, Queens, NY 11101",NY,Provides Abortions
"755 E. Church Street, Elmira, NY 14901",NY,Provides Abortions
"110 School Street, Glen Cove, NY 11542",NY,Provides Abortions
"7 Coates Drive, Suite 4, Goshen, NY 10924",NY,Provides Abortions
"540 Fulton Ave, Hempstead, NY 11550",NY,Provides Abortions
"111 Seneca Street, Hornell, NY 14843",NY,Provides Abortions
"620 West Seneca Street, Ithaca, NY 14850",NY,Provides Abortions
"400 North Perry Street, Johnstown, NY 12095",NY,Provides Abortions
"21 Grand Street, Kingston, NY 12401",NY,Provides Abortions
"26 Bleecker Street, New York, NY 10012",NY,Provides Abortions
"35 Carmans Road, Massapequa, NY 11758",NY,Provides Abortions
"14 Prince Street, Monticello, NY 12701",NY,Provides Abortions
"136 Lake Street, Suite 11, Newburgh, NY 12550",NY,Provides Abortions
"17 Noxon Street, Poughkeepsie, NY 12601",NY,Provides Abortions
"543 Bay Road, Queensbury, NY 12804",NY,Provides Abortions
"236 Washington Street, Saratoga Springs, NY 12866",NY,Provides Abortions
"1040 State Street, Schenectady, NY 12307",NY,Provides Abortions
"23 Hyatt Street , Staten Island, NY 10301",NY,Provides Abortions
"349 E 149th Street, 2nd Floor, Bronx, NY 10451",NY,Provides Abortions
"1424 Genesee Street, Utica, NY 13502",NY,Provides Abortions
"44 Court Street, 6th Floor, Brooklyn, NY 11201",NY,Provides Abortions
"25350 Rockside Rd, Bedford Heights, OH 44146",OH,Provides Abortions
"3255 East Main Street, Columbus, OH 43213",OH,Provides Abortions
"1511 E. Missouri Avenue, El Paso, TX 79902",TX,Provides Abortions
"201 E. Ben White Blvd - Bldg. A, Austin, TX 78704",TX,Provides Abortions
"7989 West Virginia Drive, Dallas, TX 75237",TX,Provides Abortions
"6464 John Ryan Drive - Suite A, Fort Worth, TX 76132",TX,Provides Abortions
"7426 West Bonnie Place, Kennewick, WA 99336",WA,Provides Abortions
"1525 SE King Drive, Pullman, WA 99163",WA,Provides Abortions
"123 E. Indiana Ave., Spokane, WA 99207",WA,Provides Abortions
"12104 E. Main Ave, Spokane Valley, WA 99206",WA,Provides Abortions
"828 South First Avenue, Walla Walla, WA 99362",WA,Provides Abortions
"1117 Tieton Drive, Yakima, WA 98902",WA,Provides Abortions
"3051 E. New York St., Aurora, IL 60504",IL,Provides Abortions
"5937 W Chicago Ave., Chicago, IL 60651",IL,Provides Abortions
"1319 N. Veterans Parkway, Bloomington, IL 61704",IL,Provides Abortions
"302 E Stoughton, Champaign, IL 61820",IL,Provides Abortions
"3021 N Oakland Ave, Decatur, IL 62526",IL,Provides Abortions
"6059 S. Ashland Ave., Chicago, IL 60636",IL,Provides Abortions
"19831 Governors Highway, Flossmoor, IL 60422",IL,Provides Abortions
"18 S. Michigan Avenue, Chicago, IL 60603",IL,Provides Abortions
"1200 N LaSalle Street, Chicago, IL 60610",IL,Provides Abortions
"612 Court Street, Ottawa, IL 61350",IL,Provides Abortions
"2709 N Knoxville Ave, Peoria, IL 61604",IL,Provides Abortions
"5725 North Broadway, Chicago, IL 60660",IL,Provides Abortions
"11250 S Halsted St., Chicago, IL 60628",IL,Provides Abortions
"601 N. Bruns, Springfield, IL 62702",IL,Provides Abortions
"1601 N Lewis, Waukegan, IL 60085",IL,Provides Abortions
"421 S College Ave, Bloomington, IN, 47403",IN,Provides Abortions
"8590 Georgetown Road, Indianapolis IN 46268",IN,Provides Abortions
"964 Mezzanine Dr., Lafayette, IN 47905",IN,Provides Abortions
"8645 Connecticut Street, Merrillville, IN 46410",IN,Provides Abortions
"929 West Street #200, Annapolis, MD 21401",MD,Provides Abortions
"330 North Howard Street, Baltimore, MD 21201",MD,Provides Abortions
"170 Thomas Johnson Drive, Frederick, MD 21702",MD,Provides Abortions
"1714 Joan Ave, Towson, MD 21234",MD,Provides Abortions
"8579 Commerce Drive #102, Easton, MD 21601",MD,Provides Abortions
"680 Broadway, Paterson, NJ 07505",NJ,Provides Abortions
"560 Dr. Martin Luther King Blvd. Ste. 100, East Orange, NJ 07018",NJ,Provides Abortions
"70 Adams St, Suite 13, Newark, NJ 07105",NJ,Provides Abortions
"29 N Fullerton Ave, Montclair, NJ 07042",NJ,Provides Abortions
"240 Mulberry Street Floor 1, Newark, NJ 07102",NJ,Provides Abortions
"19650 Clubhouse Road #101, Gaithersburg, MD 20879",MD,Provides Abortions
"1225 4th St. NE, Washington, DC 20002",DC,Provides Abortions
"5001 Silver Hill Road, Suite #103, Suitland, MD 20746",MD,Provides Abortions
"3100 Professional Drive, Ann Arbor, MI, 48104",MI,Provides Abortions
"4229 Cass Ave., Detroit, MI, 48201",MI,Provides Abortions
"23338 Woodward Ave., Ferndale, MI 48220",MI,Provides Abortions
"G-3371 Beecher Road, Flint, MI, 48532",MI,Provides Abortions
"425 Cherry St. SE, Grand Rapids, MI 49503",MI,Provides Abortions
"4201 W. Michigan Ave, Kalamazoo, MI, 49006",MI,Provides Abortions
"300 N. Clippert, Ste. 6, Lansing, MI 48912",MI,Provides Abortions
"1219 N. Third St., Marquette, MI 49855",MI,Provides Abortions
"1003 Spring St. Petoskey, MI 49770",MI,Provides Abortions
"1135 E. Eighth St., Traverse City, MI 49686",MI,Provides Abortions
"1500 Cannon, Helena, MT 59601",MT,Provides Abortions
"211 9th Street South, Great Falls, MT 59405",MT,Provides Abortions
"100 West Wicks Lane, Billings, MT 59105",MT,Provides Abortions
"1844 Broadwater #4, Billings, MT 59102",MT,Provides Abortions
"850 Orchard Street, Iowa City, IA 52246",IA,Provides Abortions
"90 Washington Street, Barre, VT 05641",VT,Provides Abortions
"173 St. Paul Street, Burlington, VT 05401",VT,Provides Abortions
"8 Middle Street, Keene, NH 03431",NH,Provides Abortions
"24 Pennacook Street, Manchester, NH 03104",NH,Provides Abortions
"443 Congress Street, Portland, ME 04101",ME,Provides Abortions
"79 South Main St, White River Junction, VT 05001",VT,Provides Abortions
"75 Talcott Road, Williston, VT 05495",VT,Provides Abortions
"317 Broadway, Camden, NJ 08103",NJ,Provides Abortions
"8008 Route 130N Delran, NJ 08075",NJ,Provides Abortions
"1171 Elizabeth Avenue, Elizabeth, NJ 07201",NJ,Provides Abortions
"46 N Van Brunt Street, Englewood, NJ 07631",NJ,Provides Abortions
"349 Rt 31 South Countryside Plaza, Building B, Suite 503, Flemington, NJ 08822",NJ,Provides Abortions
"800 W Main Street, Freehold, NJ 07728",NJ,Provides Abortions
"575 Main Street, Hackensack, NJ 07601",NJ,Provides Abortions
"2279 State Highway 33 Golden Crest Corporate Center - Suite 510, Hamilton Square, NJ 08690",NJ,Provides Abortions
"196 Speedwell Ave., Morristown, NJ 07960",NJ,Provides Abortions
"10B Industrial Drive, New Brunswick, NJ 08901",NJ,Provides Abortions
"8 Moran Street, Newton, NJ 07860",NJ,Provides Abortions
"450 Market Street, Perth Amboy, NJ 08861",NJ,Provides Abortions
"69 East Newman Springs Road PO Box 95, Shrewsbury, NJ 07702",NJ,Provides Abortions
"437 East State Street, Trenton, NJ 08608",NJ,Provides Abortions
"66 East Washington Avenue, Washington, NJ 07882",NJ,Provides Abortions
"303 W Lincoln #105, Anaheim, CA 92805",CA,Provides Abortions
"15403 Park Ave E., Victorville, CA 92392",CA,Provides Abortions
"1520 Nutmeg Place Suite 101, Costa Mesa, CA 92626",CA,Provides Abortions
"26137 La Paz Road #200, Mission Viejo, CA 92691",CA,Provides Abortions
"700 S Tustin Street, Orange, CA 92866",CA,Provides Abortions
"1873 S. Commercenter West, San Bernardino CA 92408",CA,Provides Abortions
"1421 E. 17th Street, Santa Ana, CA 92705",CA,Provides Abortions
"918 W Foothill Blvd. #A, Upland, CA 91786",CA,Provides Abortions
"14372 Beach Blvd., Westminster, CA 92683",CA,Provides Abortions
"5978 Powers Avenue, Jacksonville, FL 32217",FL,Provides Abortions
"8177 Glades Rd., Bay 25, Boca Raton, FL 33434",FL,Provides Abortions
"585 N.W. 161 St. Suites 200-300, Miami, FL 33169",FL,Provides Abortions
"1378 Coral Way, 4th Fl, Miami, FL 33145",FL,Provides Abortions
"8900 SW 117th Avenue Unit 207-B, Miami, FL 33186",FL,Provides Abortions
"263 North University Drive, Pembroke Pines, FL 33024",FL,Provides Abortions
"2618 W Tennessee Street, Tallahassee, FL 32304",FL,Provides Abortions
"1696 SE Hillmoor Dr, Port Saint Lucie, FL 34952",FL,Provides Abortions
"10111 Forest Hill Blvd, Suite 340, Wellington, FL 33414",FL,Provides Abortions
"4697 Main Street, Bridgeport, CT 06606",CT,Provides Abortions
"1229 Albany Avenue, Hartford, CT 06112",CT,Provides Abortions
"319B Main Street, Manchester, CT 06040",CT,Provides Abortions
"26 Women's Way, Meriden, CT 06451",CT,Provides Abortions
"345 Whitney Avenue, New Haven, CT 06511",CT,Provides Abortions
"12 Case Street, Norwich, CT 06360",CT,Provides Abortions
"175 Broad Street, Providence, RI 02903",RI,Provides Abortions
"35 Sixth Street, Stamford, CT 06902",CT,Provides Abortions
"969 W Main Street, Waterbury, CT 06708",CT,Provides Abortions
"1030 New Britain Ave, West Hartford, CT 06110",CT,Provides Abortions
"1548 W Main Street, Willimantic, CT 06226",CT,Provides Abortions
"11500 University Blvd, Orlando, FL 32817",FL,Provides Abortions
"6418 Commerce Park Drive, Fort Myers, FL 33966",FL,Provides Abortions
"610 Oak Commons Blvd., Kissimmee, FL 34741",FL,Provides Abortions
"236 E. Bearss Avenue, Tampa, FL 33613",FL,Provides Abortions
"736 Central Avenue, Sarasota, FL 34236",FL,Provides Abortions
"2314 Auburn Avenue, Cincinnati, OH 45219",OH,Provides Abortions
"1532 Siskiyou Blvd., Ashland, OR 97520",OR,Provides Abortions
"3579 Franklin Blvd, Eugene, OR 97403",OR,Provides Abortions
"160 NW Franklin Blvd., Grants Pass, OR 97526",OR,Provides Abortions
"125 South Central, Medford, OR 97501",OR,Provides Abortions
"793 N. Danebo Avenue, Eugene, OR 97402",OR,Provides Abortions
"710 North Cherry St., Knoxville, TN 37914",TN,Provides Abortions
"2430 Poplar Avenue, Memphis, TN 38112",TN,Provides Abortions
"835 Virginia Run Cove, Memphis, TN 38122",TN,Provides Abortions
"412 Dr. D.B. Todd, Jr. Blvd., Nashville, TN 37203",TN,Provides Abortions
"3668 N. Harbor Lane, Boise, ID 83703",ID,Provides Abortions
"723 NE Riddell Road, Suite A, Bremerton, WA 98310",WA,Provides Abortions
"2001 E Madison, Seattle, WA 98122",WA,Provides Abortions
"1020 W Main Street, Centralia, WA 98531",WA,Provides Abortions
"14730 NE 8th St., Bellevue, WA 98007",WA,Provides Abortions
"1509 32nd St., Everett, WA 98201",WA,Provides Abortions
"1105 S 348th Street #B103, Federal Way, WA 98003",WA,Provides Abortions
"1229 Madison Street, Seattle, WA 98104",WA,Provides Abortions
"10056 SE 240th #A, Kent, WA 98031",WA,Provides Abortions
"19505 76th Ave W. 200, Lynnwood, WA 98036",WA,Provides Abortions
"10210 State Ave., Marysville, WA 98271",WA,Provides Abortions
"2112 East Franklin Road, Meridian, ID 83642",ID,Provides Abortions
"402 Legion Way, Suite 201, Olympia, WA 98501",WA,Provides Abortions
"426 East 8th Street, Port Angeles, WA 98362",WA,Provides Abortions
"702-30th Ave SW, Puyallup, WA 98373",WA,Provides Abortions
"2505 Olympic Hwy N, #400, Shelton, WA 98584",WA,Provides Abortions
"1515 Martin Luther King Jr. Way, Tacoma , WA 98405",WA,Provides Abortions
"200 Second Ave N., Twin Falls, ID 83301",ID,Provides Abortions
"9942 8th Avenue SW, Seattle, WA 98106",WA,Provides Abortions
"9 Miner Street, Canton, NY 13617",NY,Provides Abortions
"66 Brinkerhoff Street, Plattsburgh, NY 12901",NY,Provides Abortions
"41 St. Bernard St., Saranac Lake, NY 12983",NY,Provides Abortions
"160 Stone Street, Watertown, NY 13601",NY,Provides Abortions
"1463 South 4th Street, El Centro, CA 92243",CA,Provides Abortions
"1295 Broadway #201, Chula Vista, CA 91911",CA,Provides Abortions
"49-111 California 111 #6A, Coachella, CA 92236",CA,Provides Abortions
"4575 College Ave, San Diego, CA 92115",CA,Provides Abortions
"2079 Compton Avenue Suite #104, Corona, CA 92881",CA,Provides Abortions
"1685 E. Main St. #301, El Cajon, CA 92021",CA,Provides Abortions
"347 W. Mission Ave, Escondido, CA 92025",CA,Provides Abortions
"220 Euclid Ave, Suite 30, San Diego, CA 92114",CA,Provides Abortions
"2017 First Ave, San Diego, CA 92101",CA,Provides Abortions
"7526 Clairemont Mesa Blvd, San Diego, CA 92111",CA,Provides Abortions
"10737 Camino Ruiz #258, San Diego, CA 92126",CA,Provides Abortions
"4501 Mission Bay Drive, San Diego, CA 92109",CA,Provides Abortions
"12900 Frederick Street, Suite C, Moreno Valley, CA 92553",CA,Provides Abortions
"71777 San Jacinto Drive, Suite 202, Rancho Mirage, CA 92270",CA,Provides Abortions
"3772 Tibbetts, Riverside, CA 92506",CA,Provides Abortions
"1964 Via Centre, Vista, CA 92081",CA,Provides Abortions
"701 San Mateo NE, Albuquerque, NM 87108",NM,Provides Abortions
"730 St. Michael's Drive, Suite 4B, Santa Fe, NM 87505",NM,Provides Abortions
"1560 12th Street #7, Alamosa, CO 81101",CO,Provides Abortions
"1284 S. Abilene St, Aurora, CO 80012",CO,Provides Abortions
"2525 Arapahoe Ave, Suite C-200, Boulder, CO 80302",CO,Provides Abortions
"3480 Centennial Blvd., Colorado Springs, CO 80907",CO,Provides Abortions
"20 West North Street Cortez, CO 81321",CO,Provides Abortions
"46 Suttle St., Durango, CO 81303",CO,Provides Abortions
"825 South Shields St, Suites 4 - 7, Fort Collins, CO 80521",CO,Provides Abortions
"50923 Highway 6 & 24, Glenwood Springs, CO 81601",CO,Provides Abortions
"3487B W 10th Street, Greeley, CO 80634",CO,Provides Abortions
"3300 E Flamingo Rd #25, Las Vegas, NV 89121",NV,Provides Abortions
"3220 W Charleston Blvd., Las Vegas, NV 89102",NV,Provides Abortions
"131 W County Line Rd, Littleton, CO 80129",CO,Provides Abortions
"7155 E 38th Ave, Denver, CO 80207",CO,Provides Abortions
"111 11th Street Unit 102, Steamboat Springs, CO 80487",CO,Provides Abortions
"317 Salem Place, Fairview Heights, IL 62208",IL,Provides Abortions
"4251 Forest Park Avenue, St. Louis, MO 63108",MO,Provides Abortions
"933 Liberty Avenue, Pittsburgh, PA 15222",PA,Provides Abortions
"3706 Orin Road, Madison, WI 53704",WI,Provides Abortions
"435 S. Water Street, Milwaukee, WI 53204",WI,Provides Abortions
"909 South Taylor Drive, Sheboygan, WI 53081",WI,Provides Abortions
"330 S. Garfield Ave. 3rd Floor, Suite 300, Alhambra, CA 91801",CA,Provides Abortions
"4070 Sterling Way, Baldwin Park, CA 91706",CA,Provides Abortions
"130 W Route 66, Glendora, CA 91740",CA,Provides Abortions
"1045 N. Lake Ave, Pasadena, CA 91104",CA,Provides Abortions
"68 McDowell St, Asheville, NC 28801",NC,Provides Abortions
"1765 Dobbins Drive, Chapel Hill, NC 27514",NC,Provides Abortions
"1312 Ashley River Rd., Charleston, SC 29407",SC,Provides Abortions
"700 South Torrence Street, Charlotte, NC 28204",NC,Provides Abortions
"2964 Hydraulic Road, Charlottesville, VA 22901",VA,Provides Abortions
"2712 Middleburg Drive, Suite 107, Columbia, SC 29204",SC,Provides Abortions
"4551 Yadkin Rd, Fayetteville, NC, 28303",NC,Provides Abortions
"2207 Peters Creek Road, Roanoke, VA 24017",VA,Provides Abortions
"1925 Tradd Court, Wilmington, NC 28401",NC,Provides Abortions
"3000 Maplewood Ave, Ste. 112, Winston-Salem, NC, 27103",NC,Provides Abortions
"2140 Babcock Rd, San Antonio, TX 78229",TX,Provides Abortions
"920 San Pedro Ave. Suite 150, San Antonio, TX 78212",TX,Provides Abortions
"220 Cobb Parkway North, Suite 500, Marietta, GA 30062",GA,Provides Abortions
"440 Moreland Avenue SE, Atlanta, GA 30316",GA,Provides Abortions
"798 Lawrenceville Suwannee Road, Suite 300, Lawrenceville, GA 30043",GA,Provides Abortions
"720 East 71st St, Savannah, GA 31405",GA,Provides Abortions
"1144 Locust Street, Philadelphia, PA 19107",PA,Provides Abortions
"1221 Powell Street, Norristown, PA 19401",PA,Provides Abortions
"8 S Wayne Street, West Chester, PA 19382",PA,Provides Abortions
"2751 Comly Road, Philadelphia, PA 19154",PA,Provides Abortions
"160 West Washington Street Suite 100, Hagerstown, MD 21740",MD,Provides Abortions
"5602 Baltimore National Pike, Suite 600, Baltimore, MD 21228",MD,Provides Abortions
"Jackson Place N, 966 Hungerford Drive, Suite 24, Rockville, MD, 20850",MD,Provides Abortions
"100 Northpoint Pkwy., West Palm Beach, FL 33407",FL,Provides Abortions
"12000 Shaker Boulevard, Cleveland, OH 44120",OH,Provides Abortions
"1180 Beacon Street, Suite 5B, Brookline, MA 02446",MA,Provides Abortions
"99 North La Cienega Blvd, Beverly Hills, CA 90211",CA,Provides Abortions
"14 DeKalb Ave, 2nd Floor, Brooklyn, NY 11201",NY,Provides Abortions
"512 First Avenue North, Fargo, ND 58102",ND,Provides Abortions
"811 South Perry Street, Montgomery, AL 36104",AL,Provides Abortions
"118 N Boulevard, Richmond, VA 23220",VA,Provides Abortions
"1119 2nd Street SW, Roanoke, VA 24016",VA,Provides Abortions
"3819 West Broadway, Minneapolis, MN 55422",MN,Provides Abortions
"78-13 Roosevelt Avenue, Jackson Heights, NY 11372",NY,Provides Abortions
"9540 Addison Avenue, Franklin Park, IL 60131",IL,Provides Abortions
"3131 La Canada Street, Las Vegas, NV 89169",NV,Provides Abortions
"1 Daniel Burnham Court, Suite 230C , San Francisco, CA 94109",CA,Provides Abortions
"3838 California Street, Suite 412, San Francisco , CA 94118",CA,Provides Abortions
"120 East 34th Street, Savannah, GA 31401",GA,Provides Abortions
"19305 West 7 Mile Rd, Detroit, MI, 48219",MI,Provides Abortions
"2638 East Florence Avenue, Huntington Park, CA 90255",CA,Provides Abortions
"1111 Spring Street, Suite G2, Silver Spring, MD 20910",MD,Provides Abortions
"1222 South Glendale Avenue #3, Glendale, CA 91205",CA,Provides Abortions
"1687 Erringer Road Suite 211B, Simi Valley, CA 93065",CA,Provides Abortions
"1000 South Avenue, Rochester, NY 14620",NY,Provides Abortions
"106 Valley Street, South Orange, NJ 07079-2886",NJ,Provides Abortions
"522 Lomas Blvd. NE, Albuquerque, NM 87102",NM,Provides Abortions
"8616 Greenville Ave, Ste 101, Dallas, TX 75243",TX,Provides Abortions
"375 Seguine Ave, Staten Island, NY 10309",NY,Provides Abortions
"3209 N California St, Stockton, CA 95204",CA,Provides Abortions
"33 Walt Whitman Rd, Suite 228, Huntington, NY 11746",NY,Provides Abortions
"498 Route 111, Smithtown, NY 11787",NY,Provides Abortions
"1874 Piedmont Ave NE, Suite 500-E, Atlanta, GA 30324",GA,Provides Abortions
"15801 W. McNichols Rd, Detroit, MI, 48235",MI,Provides Abortions
"17070 Red Oak Dr., Ste. 509, Houston, TX 77090",TX,Provides Abortions
"3101 Richmond Ave., #250, Houston, TX 77098",TX,Provides Abortions
"1580 Valencia St. Suite 508, San Francisco, CA 94110",CA,Provides Abortions
"2550 Sweet Home Road, Amherst, NY 14228",NY,Provides Abortions
"1 Foxhall Avenue, Kingston, NY 12401",NY,Provides Abortions
"16 East 16th Street, New York, NY 10003",NY,Provides Abortions
"1 Main St., Suite N1, Hartford, CT 06106",CT,Provides Abortions
"3250 South Dixie Hwy. (U.S. 1), Miami, FL 33133",FL,Provides Abortions
"5525 Etiwanda Ave., #216, Tarzana, CA 91356",CA,Provides Abortions
"1240 S.W. 44th St., Oklahoma City, OK 73109",OK,Provides Abortions
"5107 E. Kellogg Ave., Wichita, KS 67218",KS,Provides Abortions
"800 Washington Street, Boston, MA 02111",MA,Provides Abortions
"6136 East 32nd Place, Tulsa, OK 74135",OK,Provides Abortions
"33 Kendall Street, Worcester, MA 01605",MA,Provides Abortions
"101 Manning Drive, Chapel Hill, NC, 27514",NC,Provides Abortions
"UW Medical Center-Roosevelt II, 4th Floor, Women's Health Center, 4245 Roosevelt Way N.E., Seattle, WA 98105",WA,Provides Abortions
"855 Central Ave., Albany, NY 12206",NY,Provides Abortions
"804 Columbia Street, Hudson, NY 12534",NY,Provides Abortions
"200 Broadway, Troy, NY 12180",NY,Provides Abortions
"403 Yale Drive, Hampton, VA 23666",VA,Provides Abortions
"201 N Hamilton Street, Richmond, VA 23221",VA,Provides Abortions
"515 Newtown Road, Virginia Beach, VA 23462",VA,Provides Abortions
"715 E. 3900 S. #203, Salt Lake City, UT 84109",UT,Provides Abortions
"2112 F Street, N.W. Suite 400, Washington, DC 20037",DC,Provides Abortions
"32 East 1st Street, Duluth, MN 55802",MN,Provides Abortions
"535 Jack Warner Pkwy, Suite 1, Tuscaloosa, AL 35404",AL,Provides Abortions
"5915 Tyrone Rd, Reno, NV 89502",NV,Provides Abortions
"22110 Roscoe Blvd, #104, Canoga Park, CA 91304",CA,Provides Abortions
"2839 Duke Street, Alexandria, VA 22314",VA,Provides Abortions
"2321 Commonwealth Drive, Charlottesville, VA 22901",VA,Provides Abortions
"4100 Duval Rd., Bldg. 2, Suite 201, Austin, TX 78759",TX,Provides Abortions
"3256 Lackland Rd., Fort Worth, TX, 76116",TX,Provides Abortions
"802 South Main St., McAllen, TX, 78501",TX,Provides Abortions
"8053 E Bloomington Fwy #450, Bloomington, MN 55420",MN,Provides Abortions
"7648 Belair Road, Nottingham, Baltimore, MD 21236",MD,Provides Abortions
"3511 Lincoln Way W, South Bend, IN 46628",IN,Provides Abortions
"51 Fifth Ave, Arcadia, CA 91006",CA,Provides Abortions
"1560 S Highland Ave, Clearwater, FL 33756",FL,Provides Abortions
"3401 66th St N, St. Petersburg, FL 33710",FL,Provides Abortions
"2010 E Fletcher Ave, Tampa, FL 33612",FL,Provides Abortions
"16876 NE 19th Avenue, North Miami Beach, FL 33162",FL,Provides Abortions
"2 Dudley Street, 5th Floor, Providence, RI 02905",RI,Provides Abortions
"4801 West Peterson Ave., Suite 609, Chicago, IL 60646",IL,Provides Abortions
"18051 Crenshaw Blvd, Suite #C, Torrance, CA 90504",CA,Provides Abortions
"15650 East Eight Mile Road, Detroit, MI 48205",MI,Provides Abortions
"11474 East 15 Mile Road, Sterling Heights, MI 48312",MI,Provides Abortions
"6765 Orchard Lake Road, West Bloomfield, MI 48322",MI,Provides Abortions
"200 Motor Parkway, Suite 23D, Hauppague, NY 11788",NY,Provides Abortions
"10 Zabriskie Street, Hackensack, NJ 07601",NJ,Provides Abortions
"6721 Avenue U, Corner E. 68th Street, Brooklyn, NY 11234",NY,Provides Abortions
"37-54 75th St, Jackson Heights, NY 11372",NY,Provides Abortions
"1735 Mission Street, San Francisco, CA 94103",CA,Provides Abortions
"555 E. Broadway, Suite 108, Jackson, WY 83002",WY,Provides Abortions
"2701 General Pershing St, New Orleans, LA 70115",LA,Provides Abortions
"G-3422 Flushing Road, Diplomat Plaza, Flint, MI, 48504",MI,Provides Abortions
"3141 S. Cabaret Trail, Suite #100, Saginaw, MI, 48603",MI,Provides Abortions
"510 Washington St West, Charleston, WV 25302",WV,Provides Abortions
"824 Franklin Park Drive, East Syracuse, NY 13057",NY,Provides Abortions
"111 Harvard St, Brookline, MA 02446",MA,Provides Abortions
"1469 Humboldt Road, Suite 200, Chico, CA 95928",CA,Provides Abortions
"984 Plaza Drive, Grass Valley, CA 95945",CA,Provides Abortions
"1901 Victor Avenue, Redding, CA 96002",CA,Provides Abortions
"1401 E. Stroop Road, Dayton, OH 45429",OH,Provides Abortions
"1201 N. Arlington Ave, Indianapolis, IN 46219",IN,Provides Abortions
"112 S. Munn Ave, East Orange, NJ 07018",NJ,Provides Abortions
"2284 East Maple Ave, El Segundo, CA 90245",CA,Provides Abortions
"12304 Santa Monica Blvd, Suite 208, Los Angeles, CA 90025",CA,Provides Abortions
"8200 Wednesbury Lane, Ste 230, Houston, TX 77074",TX,Provides Abortions
"40 Temple Street, 3rd Floor, Suite 3C, New Haven, CT 06519",CT,Provides Abortions
"6721 Karl Road, Columbus, OH 43229",OH,Provides Abortions
"1001 Potrero Ave, Building 5, Ward 6G, San Francisco, CA 94110",CA,Provides Abortions
"210 South St. Ste. 4, Bennington, VT 05201",VT,Provides Abortions
"11 Burnham Avenue, Rutland, VT 05701",VT,Provides Abortions
