address,state,provAbortion
"7360 Coral Way, Ste. 16, Miami, FL 33155",FL,Provides Abortions
"610 N. California Street, Missoula, MT 59802",MT,Provides Abortions
"One Boston Medical Center Place, Boston, MA 02118",MA,Provides Abortions
"1130 Alpine Avenue, Boulder, CO 80304",CO,Provides Abortions
"2855 Valmont Road, Boulder, CO 80301",CO,Provides Abortions
"82 21st Ave, Suite C, Longmont, CO 80501",CO,Provides Abortions
"292 S. La Cienega Blvd. #100, Beverly Hills, CA 90211",CA,Provides Abortions
"1233 NW 10th Avenue, Gainesville, FL 32601",FL,Provides Abortions
"75 Francis Street, Boston, Ma, 02115",MA,Provides Abortions
"2901 West State St, Bristol, TN 37620",TN,Provides Abortions
"2070 Eastchester Road, Bronx, NY 10461",NY,Provides Abortions
"14 Dekalb Ave, 4th Floor, Brooklyn, NY 11201",NY,Provides Abortions
"142 Joralemon Street, Suite 4CF, Brooklyn, NY 11201",NY,Provides Abortions
"14 Dekalb Ave, Brooklyn, NY 11201",NY,Provides Abortions
"106-12 Liberty Ave, Ozone Park, NY 11417",NY,Provides Abortions
"2500 Main Street, Buffalo, NY 14214",NY,Provides Abortions
"1493 Cambridge St., Cambridge, MA 02139",MA,Provides Abortions
"4141 N. 32nd Street, #105, Phoenix, AZ 85018",AZ,Provides Abortions
"1160 W Sylvania Ave, Toledo, OH 43612",OH,Provides Abortions
"6323 Georgia Ave NW, Suite 210, Washington D.C. 20011",DC,Provides Abortions
"1800 Peachtree St NW, Suite 800, Atlanta, GA 30309",GA,Provides Abortions
"4711 Golf Rd, Suite 920, Skokie, IL 60076",IL,Provides Abortions
"5002 Crossings Circle, Suite 260, Mt Juliet, TN 37122",TN,Provides Abortions
"5530 Wisconsin Ave, Chevy Chase, MD 20815",MD,Provides Abortions
"1002 W Mission Ave., Bellevue, NE 68005",NE,Provides Abortions
"263 Rainier Ave S. #200, Renton, WA 98057",WA,Provides Abortions
"509 Olive Way #1454, Seattle, WA 98101",WA,Provides Abortions
"1401-A Martin Luther King Jr Way, Tacoma, WA 98405",WA,Provides Abortions
"2020 South Clinton Avenue, Rochester, NY 14618",NY,Provides Abortions
"10215 W. Roosevelt Rd. #101, Westchester, IL 60154",IL,Provides Abortions
"4840 College Boulevard, Overland Park, KS 66211",KS,Provides Abortions
"502 Kings Highway North, Cherry Hill, NJ 08034",NJ,Provides Abortions
"89-26 Roosevelt Avenue, 2nd Floor, Jackson Heights, NY 11372",NY,Provides Abortions
"1726 Poplar Ave, Memphis, TN 38104",TN,Provides Abortions
