gestational,funding,medical,personal,state_name,overall
1,1,0.5,1,TX,3.5
1,0.6363636363636364,0.8333333333333333,0.9523809523809523,AR,3.4220779220779223
1,1,0.8333333333333333,0.5714285714285714,OK,3.404761904761904
0.8,0.6363636363636364,1,0.9523809523809523,OH,3.388744588744589
1,1,0.8333333333333333,0.38095238095238093,MO,3.214285714285714
0.26666666666666666,0.9545454545454546,1,0.9523809523809523,IN,3.1735930735930733
1,0.5909090909090909,0.5,0.9523809523809523,MS,3.0432900432900434
1,0.7272727272727273,0.5,0.7619047619047619,SD,2.9891774891774894
0.2,0.8181818181818182,0.8333333333333333,0.9523809523809523,AZ,2.803896103896104
0.3333333333333333,1,0.5,0.9523809523809523,MI,2.7857142857142856
0.26666666666666666,0.6363636363636364,0.8333333333333333,0.9523809523809523,LA,2.688744588744589
0.8,0.6363636363636364,0.8333333333333333,0.41666666666666663,TN,2.686363636363636
0.8,0.6363636363636364,0.6666666666666666,0.38095238095238093,SC,2.483982683982684
0.26666666666666666,1,0.8333333333333333,0.38095238095238093,KS,2.4809523809523806
1,0.6363636363636364,0.41666666666666663,0.38095238095238093,AL,2.4339826839826837
0.06666666666666667,0.9545454545454546,0.5,0.8571428571428571,UT,2.3783549783549782
0.5,0.6363636363636364,0.41666666666666663,0.6071428571428571,FL,2.16017316017316
0.26666666666666666,1,0.5,0.38095238095238093,ND,2.1476190476190475
0.5,1,0.08333333333333333,0.5238095238095238,KY,2.107142857142857
0.06666666666666667,0.5909090909090909,0.8333333333333333,0.5714285714285714,VA,2.0623376623376624
0.2,1,0.25,0.38095238095238093,ID,1.8309523809523809
0.26666666666666666,0.5909090909090909,0.08333333333333333,0.8571428571428571,WI,1.7980519480519481
0.26666666666666666,1,0.08333333333333333,0.38095238095238093,NE,1.7309523809523808
0.2,0.6363636363636364,0.5,0.19047619047619047,NH,1.5268398268398269
0.13333333333333333,0.6363636363636364,0.3333333333333333,0.38095238095238093,PA,1.483982683982684
0.26666666666666666,0.6363636363636364,0.3333333333333333,0.19047619047619047,GA,1.4268398268398268
0.2,0.6363636363636364,0,0.5714285714285714,WY,1.4077922077922078
0.2,0.6363636363636364,0.08333333333333333,0.38095238095238093,RI,1.3006493506493508
0.26666666666666666,0.6363636363636364,0.08333333333333333,0.2261904761904762,IA,1.2125541125541126
0.13333333333333333,0.6363636363636364,0,0.38095238095238093,NC,1.1506493506493505
0.26666666666666666,0.5454545454545454,0.08333333333333333,0.09523809523809523,WV,0.9906926406926406
0.2,0,0.5,0.19047619047619047,MN,0.8904761904761904
0.2,0.6363636363636364,0,0.047619047619047616,NV,0.8839826839826841
0.13333333333333333,0.6363636363636364,0,0.09523809523809523,DE,0.8649350649350649
0.13333333333333333,0,0.6666666666666666,0.047619047619047616,MT,0.8476190476190475
0,0.6363636363636364,0,0.19047619047619047,CO,0.8268398268398268
0.13333333333333333,0,0,0.2857142857142857,MA,0.419047619047619
0.2,0,0,0.19047619047619047,IL,0.3904761904761905
0,0,0.3333333333333333,0.047619047619047616,NM,0.38095238095238093
0.2,0,0,0.047619047619047616,CA,0.24761904761904763
0.13333333333333333,0,0,0.09523809523809523,MD,0.22857142857142856
0.2,0,0,0,CT,0.2
0.2,0,0,0,ME,0.2
0.2,0,0,0,WA,0.2
0.13333333333333333,0,0,0,NY,0.13333333333333333
0,0,0.08333333333333333,0.047619047619047616,NJ,0.13095238095238093
0,0,0,0,OR,0
0,0,0,0,VT,0
