state_name,funding,medical,personal,gestRoe,lawRoe,gestDobb,lawDobb
TX,1,0.5,1,1,3.5,1,3.5
IN,0.9545454545454546,1,0.9523809523809524,0.3636363636363637,3.270562770562771,0.26666666666666666,3.1735930735930733
OH,0.6363636363636364,1,0.9523809523809524,0.3636363636363637,2.952380952380953,0.8,3.388744588744589
MI,1,0.5,0.9523809523809524,0.4545454545454546,2.9069264069264067,0.3333333333333333,2.7857142857142856
AZ,0.8181818181818182,0.8333333333333333,0.9523809523809524,0.2727272727272727,2.8766233766233764,0.2,2.803896103896104
AR,0.6363636363636364,0.8333333333333333,0.9523809523809524,0.3636363636363637,2.7857142857142856,1,3.4220779220779223
LA,0.6363636363636364,0.8333333333333333,0.9523809523809524,0.3636363636363637,2.7857142857142856,0.26666666666666666,2.688744588744589
OK,1,0.8333333333333333,0.5714285714285714,0.3636363636363637,2.7683982683982684,1,3.404761904761904
MS,0.5909090909090909,0.5,0.9523809523809524,0.5909090909090909,2.634199134199134,1,3.0432900432900434
KS,1,0.8333333333333333,0.380952380952381,0.3636363636363637,2.577922077922078,0.26666666666666666,2.480952380952381
MO,1,0.8333333333333333,0.380952380952381,0.2727272727272727,2.487012987012987,1,3.214285714285714
UT,0.9545454545454546,0.5,0.8571428571428571,0.09090909090909093,2.4025974025974026,0.06666666666666667,2.3783549783549782
SD,0.7272727272727273,0.5,0.7619047619047619,0.3636363636363637,2.3528138528138527,1,2.98917748917749
ND,1,0.5,0.380952380952381,0.3636363636363637,2.2445887445887447,1,2.880952380952381
VA,0.5909090909090909,0.8333333333333333,0.5714285714285714,0.09090909090909093,2.0865800865800868,0.06666666666666667,2.0623376623376624
TN,0.6363636363636364,0.8333333333333333,0.41666666666666663,0.18181818181818185,2.068181818181818,1,2.886363636363636
SC,0.6363636363636364,0.6666666666666666,0.380952380952381,0.3636363636363637,2.047619047619047,0.8,2.483982683982684
KY,1,0.08333333333333333,0.5238095238095238,0.3636363636363637,1.970779220779221,0.5,2.107142857142857
FL,0.6363636363636364,0.41666666666666663,0.6071428571428571,0.2727272727272727,1.932900432900433,0.5,2.16017316017316
ID,1,0.25,0.380952380952381,0.2727272727272727,1.9036796536796536,1,2.630952380952381
WI,0.5909090909090909,0.08333333333333333,0.8571428571428571,0.3636363636363637,1.8950216450216448,1,2.531385281385281
NE,1,0.08333333333333333,0.380952380952381,0.3636363636363637,1.827922077922078,0.26666666666666666,1.7309523809523808
AL,0.6363636363636364,0.41666666666666663,0.380952380952381,0.3636363636363637,1.7976190476190474,1,2.4339826839826837
PA,0.6363636363636364,0.3333333333333333,0.380952380952381,0.18181818181818185,1.5324675324675323,0.13333333333333333,1.483982683982684
GA,0.6363636363636364,0.3333333333333333,0.1904761904761905,0.3636363636363637,1.5238095238095235,0.26666666666666666,1.4268398268398268
WY,0.6363636363636364,0,0.5714285714285714,0.2727272727272727,1.4805194805194803,1,2.207792207792208
RI,0.6363636363636364,0.08333333333333333,0.380952380952381,0.2727272727272727,1.3733766233766234,0.2,1.3006493506493508
NH,0.6363636363636364,0.5,0.1904761904761905,0,1.3268398268398267,0.2,1.5268398268398269
IA,0.6363636363636364,0.08333333333333333,0.2261904761904762,0.3636363636363637,1.3095238095238095,0.26666666666666666,1.2125541125541126
NC,0.6363636363636364,0,0.380952380952381,0.18181818181818185,1.199134199134199,0.13333333333333333,1.1506493506493505
WV,0.5454545454545454,0.08333333333333333,0.09523809523809525,0.3636363636363637,1.0876623376623376,0.26666666666666666,0.9906926406926406
MN,0,0.5,0.1904761904761905,0.2727272727272727,0.9632034632034632,0.2,0.8904761904761904
NV,0.6363636363636364,0,0.04761904761904761,0.2727272727272727,0.9567099567099566,0.2,0.8839826839826841
DE,0.6363636363636364,0,0.09523809523809525,0.18181818181818185,0.9134199134199134,0.13333333333333333,0.8649350649350649
MT,0,0.6666666666666666,0.04761904761904761,0.18181818181818185,0.8961038961038961,0.13333333333333333,0.8476190476190475
CO,0.6363636363636364,0,0.1904761904761905,0,0.8268398268398268,0,0.8268398268398268
MA,0,0,0.2857142857142857,0.18181818181818185,0.4675324675324675,0.13333333333333333,0.419047619047619
IL,0,0,0.1904761904761905,0.2727272727272727,0.4632034632034632,0.2,0.3904761904761905
NM,0,0.3333333333333333,0.04761904761904761,0,0.380952380952381,0,0.380952380952381
CA,0,0,0.04761904761904761,0.2727272727272727,0.3203463203463203,0.2,0.24761904761904763
MD,0,0,0.09523809523809525,0.18181818181818185,0.27705627705627706,0.13333333333333333,0.22857142857142856
CT,0,0,0,0.2727272727272727,0.2727272727272727,0.2,0.2
ME,0,0,0,0.2727272727272727,0.2727272727272727,0.2,0.2
WA,0,0,0,0.2727272727272727,0.2727272727272727,0.2,0.2
NY,0,0,0,0.18181818181818185,0.18181818181818185,0.13333333333333333,0.13333333333333333
NJ,0,0.08333333333333333,0.04761904761904761,0,0.13095238095238093,0,0.13095238095238093
OR,0,0,0,0,0,0,0
VT,0,0,0,0,0,0,0
