address,city,county,state,latitude,longitude,stateFIPS,GEOID
"1841 Broadway, Suite #1011, New York, NY 10023",New York,New York County,NY,40.769102,-73.982247,36,36061
"5910 Kirkwood St, Pittsburgh, PA 15206",Pittsburgh,Allegheny County,PA,40.462323,-79.925781,42,42003
"31 South Commerce Way, Suite 100, Bethlehem, PA 18017",Bethlehem,Northampton County,PA,40.672855,-75.375482,42,42095
"1930 Wilshire Boulevard, Suite 500, Los Angeles, CA 90057",Los Angeles,Los Angeles County,CA,34.057162,-118.274553,6,6037
"8316 Arlington Blvd, Fairfax, VA 22031",Fairfax,Fairfax County,VA,38.86661,-77.232364,51,51059
"224 Groveland Road, 2nd floor, Virginia Beach, VA 23452",Virginia Beach,Virginia Beach city,VA,36.841338,-76.085644,51,51810
"2744 N. Western Ave, Chicago, IL 60647",Chicago,Cook County,IL,41.931703,-87.688285,17,17031
"110 S. River Road (US45), Suite 7, Des Plaines, IL 60016",Des Plaines,Cook County,IL,42.051351,-87.887469,17,17031
"6005 Landover Rd, Suite #6, Cheverly, MD 20785",Cheverly,Prince George's County,MD,38.934082,-76.915563,24,24033
"700 N. Broad Street, Suite 202, Elizabeth, NJ 07208",Elizabeth,Union County,NJ,40.679695,-74.213975,34,34039
"200 Grand Avenue, Suite 101, Englewood, NJ 07631",Englewood,Bergen County,NJ,40.886785,-73.977648,34,34003
"333 Jimmie Leeds Road, Unit 5, Galloway, NJ 08205",Galloway,Atlantic County,NJ,39.464821,-74.496202,34,34001
"1345 Kuser Road, Suite 1, Hamilton, NJ 08619",Trenton,Mercer County,NJ,40.209635,-74.702855,34,34021
"157 S. Main Street, Phillipsburg, NJ 08865",Phillipsburg,Warren County,NJ,40.68887,-75.199399,34,34041
"9801 Georgia Avenue, Suite 338, Silver Spring, MD 20902",Silver Spring,Montgomery County,MD,39.016185,-77.042382,24,24031
"600 Somerdale Road, Suite 206, Voorhees, NJ 08043",Voorhees,Camden County,NJ,39.857714,-74.994052,34,34007
"228 Main Street, Woodbridge, NJ 07095",Woodbridge,Middlesex County,NJ,40.552111,-74.287126,34,34023
"149 Vestal Parkway West, Vestal, NY 13851",Vestal,Broome County,NY,42.085273,-76.056179,36,36007
"25 Highland Ave., Newburyport, MA 01950",Newburyport,Essex County,MA,42.814386,-70.89108,25,25009
"1407 North Vermont Ave, Suite A, Los Angeles, CA 90027",Los Angeles,Los Angeles County,CA,34.09718,-118.29207,6,6037
"8631 West 3rd Street, Suite 444E, Los Angeles, CA 90048",Los Angeles,Los Angeles County,CA,34.07373,-118.38036,6,6037
