stateFIPS,stateAB,state,funding,medical,personal,gestRoe,gestDobb,lawRoe,lawDobb,legCon,govCon,stateCon
48,TX,Texas,1,0.5,1,2,2,4.5,4.5,R,R,R
18,IN,Indiana,0.9545454545454546,1,0.9523809523809524,0.7272727272727274,0.5333333333333333,3.634199134199134,3.44025974025974,R,R,R
39,OH,Ohio,0.6363636363636364,1,0.9523809523809524,0.7272727272727274,1.6,3.3160173160173163,4.188744588744589,R,R,R
26,MI,Michigan,1,0.5,0.9523809523809524,0.9090909090909092,0.6666666666666666,3.3614718614718617,3.119047619047618,R,D,S
04,AZ,Arizona,0.8181818181818182,0.8333333333333333,0.9523809523809524,0.5454545454545454,0.4,3.14935064935065,3.0038961038961043,R,R,R
05,AR,Arkansas,0.6363636363636364,0.8333333333333333,0.9523809523809524,0.7272727272727274,2,3.14935064935065,4.422077922077922,R,R,R
22,LA,Louisiana,0.6363636363636364,0.8333333333333333,0.9523809523809524,0.7272727272727274,0.5333333333333333,3.14935064935065,2.9554112554112555,R,D,S
40,OK,Oklahoma,1,0.8333333333333333,0.5714285714285714,0.7272727272727274,2,3.1320346320346317,4.404761904761904,R,R,R
28,MS,Mississippi,0.5909090909090909,0.5,0.9523809523809524,1.181818181818182,2,3.2251082251082255,4.043290043290043,R,R,R
20,KS,Kansas,1,0.8333333333333333,0.380952380952381,0.7272727272727274,0.5333333333333333,2.9415584415584415,2.747619047619047,R,D,S
29,MO,Missouri,1,0.8333333333333333,0.380952380952381,0.5454545454545454,2,2.75974025974026,4.2142857142857135,R,R,R
49,UT,Utah,0.9545454545454546,0.5,0.8571428571428571,0.18181818181818185,0.13333333333333333,2.4935064935064934,2.445021645021645,R,R,R
46,SD,South Dakota,0.7272727272727273,0.5,0.7619047619047619,0.7272727272727274,2,2.7164502164502164,3.98917748917749,R,R,R
38,ND,North Dakota,1,0.5,0.380952380952381,0.7272727272727274,2,2.6082251082251084,3.880952380952381,R,R,R
51,VA,Virginia,0.5909090909090909,0.8333333333333333,0.5714285714285714,0.18181818181818185,0.13333333333333333,2.1774891774891776,2.129004329004329,D,D,D
47,TN,Tennessee,0.6363636363636364,0.8333333333333333,0.41666666666666663,0.3636363636363637,2,2.25,3.886363636363636,R,R,R
45,SC,South Carolina,0.6363636363636364,0.6666666666666666,0.380952380952381,0.7272727272727274,1.6,2.411255411255411,3.283982683982684,R,R,R
21,KY,Kentucky,1,0.08333333333333333,0.5238095238095238,0.7272727272727274,1,2.3344155844155847,2.607142857142857,R,D,S
12,FL,Florida,0.6363636363636364,0.41666666666666663,0.6071428571428571,0.5454545454545454,1,2.2056277056277054,2.66017316017316,R,R,R
16,ID,Idaho,1,0.25,0.380952380952381,0.5454545454545454,2,2.1764069264069263,3.630952380952381,R,R,R
55,WI,Wisconsin,0.5909090909090909,0.08333333333333333,0.8571428571428571,0.7272727272727274,2,2.2586580086580086,3.5313852813852815,R,D,S
31,NE,Nebraska,1,0.08333333333333333,0.380952380952381,0.7272727272727274,0.5333333333333333,2.191558441558442,1.9976190476190472,U,R,U
01,AL,Alabama,0.6363636363636364,0.41666666666666663,0.380952380952381,0.7272727272727274,2,2.161255411255411,3.4339826839826837,R,R,R
42,PA,Pennsylvania,0.6363636363636364,0.3333333333333333,0.380952380952381,0.3636363636363637,0.26666666666666666,1.7142857142857142,1.6173160173160173,R,D,S
13,GA,Georgia,0.6363636363636364,0.3333333333333333,0.1904761904761905,0.7272727272727274,0.5333333333333333,1.8874458874458877,1.6935064935064934,R,R,R
56,WY,Wyoming,0.6363636363636364,0,0.5714285714285714,0.5454545454545454,2,1.753246753246753,3.207792207792208,R,R,R
44,RI,Rhode Island,0.6363636363636364,0.08333333333333333,0.380952380952381,0.5454545454545454,0.4,1.6461038961038958,1.5006493506493506,D,D,D
33,NH,New Hampshire,0.6363636363636364,0.5,0.1904761904761905,0,0.4,1.3268398268398267,1.7268398268398268,D,R,S
19,IA,Iowa,0.6363636363636364,0.08333333333333333,0.2261904761904762,0.7272727272727274,0.5333333333333333,1.6731601731601733,1.4792207792207792,R,R,R
37,NC,North Carolina,0.6363636363636364,0,0.380952380952381,0.3636363636363637,0.26666666666666666,1.380952380952381,1.283982683982684,R,D,S
54,WV,West Virginia,0.5454545454545454,0.08333333333333333,0.09523809523809525,0.7272727272727274,0.5333333333333333,1.4512987012987015,1.257359307359307,R,R,R
27,MN,Minnesota,0,0.5,0.1904761904761905,0.5454545454545454,0.4,1.235930735930736,1.0904761904761906,S,D,S
32,NV,Nevada,0.6363636363636364,0,0.04761904761904761,0.5454545454545454,0.4,1.229437229437229,1.083982683982684,D,D,D
10,DE,Delaware,0.6363636363636364,0,0.09523809523809525,0.3636363636363637,0.26666666666666666,1.0952380952380951,0.9982683982683984,D,D,D
30,MT,Montana,0,0.6666666666666666,0.04761904761904761,0.3636363636363637,0.26666666666666666,1.077922077922078,0.980952380952381,R,D,S
08,CO,Colorado,0.6363636363636364,0,0.1904761904761905,0,0,0.8268398268398268,0.8268398268398268,D,D,D
25,MA,Massachusetts,0,0,0.2857142857142857,0.3636363636363637,0.26666666666666666,0.6493506493506493,0.5523809523809524,D,R,S
17,IL,Illinois,0,0,0.1904761904761905,0.5454545454545454,0.4,0.7359307359307359,0.5904761904761905,D,D,D
35,NM,New Mexico,0,0.3333333333333333,0.04761904761904761,0,0,0.380952380952381,0.380952380952381,D,D,D
06,CA,California,0,0,0.04761904761904761,0.5454545454545454,0.4,0.593073593073593,0.4476190476190477,D,D,D
24,MD,Maryland,0,0,0.09523809523809525,0.3636363636363637,0.26666666666666666,0.45887445887445893,0.3619047619047619,D,R,S
09,CT,Connecticut,0,0,0,0.5454545454545454,0.4,0.5454545454545454,0.4,D,D,D
23,ME,Maine,0,0,0,0.5454545454545454,0.4,0.5454545454545454,0.4,D,D,D
53,WA,Washington,0,0,0,0.5454545454545454,0.4,0.5454545454545454,0.4,D,D,D
36,NY,New York,0,0,0,0.3636363636363637,0.26666666666666666,0.3636363636363637,0.26666666666666666,D,D,D
34,NJ,New Jersey,0,0.08333333333333333,0.04761904761904761,0,0,0.13095238095238093,0.13095238095238093,D,D,D
41,OR,Oregon,0,0,0,0,0,0,0,D,D,D
50,VT,Vermont,0,0,0,0,0,0,0,D,R,S
