gestational,funding,medical,personal,state_name,overall
2,1,0.5,1,TX,4.5
0.7272727272727274,0.9545454545454546,1,0.9523809523809524,IN,3.6341991341991347
0.7272727272727274,0.6363636363636364,1,0.9523809523809524,OH,3.3160173160173163
0.9090909090909092,1,0.5,0.9523809523809524,MI,3.3614718614718617
0.5454545454545454,0.8181818181818182,0.8333333333333333,0.9523809523809524,AZ,3.14935064935065
0.7272727272727274,0.6363636363636364,0.8333333333333333,0.9523809523809524,AR,3.14935064935065
0.7272727272727274,0.6363636363636364,0.8333333333333333,0.9523809523809524,LA,3.14935064935065
0.7272727272727274,1,0.8333333333333333,0.5714285714285714,OK,3.1320346320346317
1.1818181818181819,0.5909090909090909,0.5,0.9523809523809524,MS,3.2251082251082255
0.7272727272727274,1,0.8333333333333333,0.380952380952381,KS,2.9415584415584415
0.5454545454545454,1,0.8333333333333333,0.380952380952381,MO,2.75974025974026
0.18181818181818185,0.9545454545454546,0.5,0.8571428571428571,UT,2.4935064935064934
0.7272727272727274,0.7272727272727273,0.5,0.7619047619047619,SD,2.7164502164502164
0.7272727272727274,1,0.5,0.380952380952381,ND,2.6082251082251084
0.18181818181818185,0.5909090909090909,0.8333333333333333,0.5714285714285714,VA,2.1774891774891776
0.3636363636363637,0.6363636363636364,0.8333333333333333,0.41666666666666663,TN,2.25
0.7272727272727274,0.6363636363636364,0.6666666666666666,0.380952380952381,SC,2.411255411255411
0.7272727272727274,1,0.08333333333333333,0.5238095238095238,KY,2.3344155844155847
0.5454545454545454,0.6363636363636364,0.41666666666666663,0.6071428571428571,FL,2.2056277056277054
0.5454545454545454,1,0.25,0.380952380952381,ID,2.1764069264069263
0.7272727272727274,0.5909090909090909,0.08333333333333333,0.8571428571428571,WI,2.2586580086580086
0.7272727272727274,1,0.08333333333333333,0.380952380952381,NE,2.191558441558442
0.7272727272727274,0.6363636363636364,0.41666666666666663,0.380952380952381,AL,2.161255411255411
0.3636363636363637,0.6363636363636364,0.3333333333333333,0.380952380952381,PA,1.7142857142857142
0.7272727272727274,0.6363636363636364,0.3333333333333333,0.1904761904761905,GA,1.8874458874458875
0.5454545454545454,0.6363636363636364,0,0.5714285714285714,WY,1.753246753246753
0.5454545454545454,0.6363636363636364,0.08333333333333333,0.380952380952381,RI,1.6461038961038958
0,0.6363636363636364,0.5,0.1904761904761905,NH,1.3268398268398267
0.7272727272727274,0.6363636363636364,0.08333333333333333,0.2261904761904762,IA,1.6731601731601733
0.3636363636363637,0.6363636363636364,0,0.380952380952381,NC,1.380952380952381
0.7272727272727274,0.5454545454545454,0.08333333333333333,0.09523809523809525,WV,1.4512987012987015
0.5454545454545454,0,0.5,0.1904761904761905,MN,1.2359307359307359
0.5454545454545454,0.6363636363636364,0,0.04761904761904761,NV,1.2294372294372293
0.3636363636363637,0.6363636363636364,0,0.09523809523809525,DE,1.0952380952380953
0.3636363636363637,0,0.6666666666666666,0.04761904761904761,MT,1.077922077922078
0,0.6363636363636364,0,0.1904761904761905,CO,0.8268398268398268
0.3636363636363637,0,0,0.2857142857142857,MA,0.6493506493506493
0.5454545454545454,0,0,0.1904761904761905,IL,0.7359307359307359
0,0,0.3333333333333333,0.04761904761904761,NM,0.38095238095238093
0.5454545454545454,0,0,0.04761904761904761,CA,0.593073593073593
0.3636363636363637,0,0,0.09523809523809525,MD,0.45887445887445893
0.5454545454545454,0,0,0,CT,0.5454545454545454
0.5454545454545454,0,0,0,ME,0.5454545454545454
0.5454545454545454,0,0,0,WA,0.5454545454545454
0.3636363636363637,0,0,0,NY,0.3636363636363637
0,0,0.08333333333333333,0.04761904761904761,NJ,0.13095238095238093
0,0,0,0,OR,0
0,0,0,0,VT,0
